22:49:53.744 -> BEGIN,46175,8
22:49:54.675 -> 921,0.18091,0.28857,0.12256,98.44971,-66.52832,9.21631
22:49:54.720 -> 938,0.32385,0.31165,0.26917,97.10693,-64.75830,-2.07520
22:49:54.720 -> 955,0.39954,0.35376,0.32654,89.11133,-66.34521,-2.38037
22:49:54.720 -> 972,0.40491,0.34534,0.33496,87.95166,-76.59912,-4.27246
22:49:54.767 -> 989,0.44324,0.35132,0.47522,85.44922,-93.87207,-5.31006
22:49:54.767 -> 1006,0.50732,0.35937,0.53491,75.86670,-103.08838,-3.66211
22:49:54.767 -> 1023,0.51794,0.30396,0.58887,69.88525,-110.22949,-6.46973
22:49:54.815 -> 1040,0.46692,0.24097,0.51111,82.58057,-108.03223,-18.00537
22:49:54.815 -> 1057,0.57471,0.28662,0.70032,91.12549,-112.06055,-31.86035
22:49:54.815 -> 1074,0.70288,0.36804,0.80432,80.93262,-119.07959,-32.34863
22:49:54.862 -> 1091,0.77844,0.38635,0.83020,62.13379,-126.15967,-30.63965
22:49:54.862 -> 1108,0.75232,0.34167,0.89429,51.57471,-129.02832,-30.39551
22:49:54.908 -> 1125,0.75183,0.31128,0.96606,48.64502,-129.63867,-33.81348
22:49:54.908 -> 1142,0.77039,0.27893,0.96802,51.02539,-125.97656,-35.52246
22:49:54.908 -> 1159,0.83862,0.32202,1.02368,51.75781,-122.13135,-39.73389
22:49:54.955 -> 1176,0.85876,0.37573,1.07703,45.28809,-114.99023,-39.73389
22:49:54.955 -> 1193,0.83643,0.32751,1.17322,36.01074,-112.54883,-42.35840
22:49:54.955 -> 1210,0.90613,0.22559,1.13855,37.71973,-103.08838,-54.13818
22:49:55.001 -> 1227,0.99951,0.18896,1.19421,39.48975,-86.60889,-71.10596
22:49:55.001 -> 1244,1.07104,0.23730,1.24121,28.99170,-76.53809,-73.91357
22:49:55.001 -> 1261,1.10327,0.24890,1.23865,15.01465,-69.70215,-65.30762
22:49:55.048 -> 1278,1.07544,0.20715,1.21033,5.92041,-57.80029,-57.98340
22:49:55.048 -> 1295,1.01257,0.18018,1.21252,-5.73730,-45.47119,-55.60303
22:49:55.095 -> 1312,0.92944,0.21143,1.21509,-17.21191,-34.79004,-51.81885
22:49:55.095 -> 1329,0.87231,0.10498,1.40356,-29.90723,-29.90723,-50.84229
22:49:55.095 -> 1346,0.76550,-0.04749,0.94263,-42.96875,-19.95850,-45.95947
22:49:55.141 -> 1363,0.61609,0.00427,0.93579,-29.05273,-1.95312,-75.31738
22:49:55.141 -> 1380,0.68945,0.03491,1.16760,-36.13281,5.37109,-65.42969
22:49:55.141 -> 1397,0.70789,-0.04578,1.13025,-46.87500,-2.25830,-58.16650
22:49:55.189 -> 1414,0.72559,-0.12866,1.07019,-47.11914,1.64795,-61.09619
22:49:55.189 -> 1431,0.75574,-0.11865,1.13562,-53.16162,7.99561,-64.08691
22:49:55.189 -> 1448,0.76428,-0.11902,1.16321,-60.48584,8.97217,-61.40137
22:49:55.235 -> 1465,0.75903,-0.18567,1.12366,-66.34521,11.29150,-62.13379
22:49:55.235 -> 1482,0.74805,-0.16443,1.12256,-67.87109,18.55469,-66.65039
22:49:55.281 -> 1499,0.74707,-0.12170,1.15564,-72.50977,20.56885,-61.52344
22:49:55.281 -> 1516,0.70276,-0.17126,1.13940,-77.69775,21.66748,-64.69727
22:49:55.281 -> 1533,0.66565,-0.18152,1.13818,-82.39746,23.07129,-69.70215
22:49:55.328 -> 1550,0.73083,-0.20435,1.10449,-90.88135,26.67236,-77.75879
22:49:55.328 -> EXIT,92
22:49:55.794 -> BEGIN,48211,9
22:49:55.794 -> 3,0.28601,-0.15137,-0.08264,12.93945,5.92041,0.06104
22:49:55.840 -> 20,0.31335,-0.07532,-0.05212,18.24951,2.31934,-5.67627
22:49:55.840 -> 37,0.39001,-0.10388,0.09180,16.35742,-12.32910,-6.04248
22:49:55.840 -> 54,0.50159,-0.07996,0.14111,12.75635,-37.10938,4.02832
22:49:55.887 -> 71,0.52600,-0.04541,0.05090,14.46533,-56.57959,21.97266
22:49:55.887 -> 88,0.60828,0.05823,0.05579,17.76123,-64.39209,28.50342
22:49:55.887 -> 105,0.68274,-0.00256,0.14978,20.14160,-73.30322,29.29688
22:49:55.933 -> 122,0.76575,0.01465,0.27100,15.99121,-68.48145,28.07617
22:49:55.933 -> 139,0.81018,0.07251,0.26819,17.88330,-55.78613,27.09961
22:49:55.933 -> 156,0.82324,0.09436,0.32458,24.10889,-45.16602,18.06641
22:49:55.980 -> 173,0.87756,0.09277,0.43445,22.76611,-44.55566,8.91113
22:49:55.980 -> 190,0.95911,0.07825,0.46619,11.90186,-43.76221,3.72314
22:49:56.027 -> 207,1.04224,0.08936,0.46130,8.36182,-39.67285,-1.34277
22:49:56.027 -> 224,1.10071,-0.00085,0.50452,10.98633,-27.40479,-10.92529
22:49:56.027 -> 241,1.20837,0.05310,0.63513,4.82178,-17.70020,-19.22607
22:49:56.073 -> 258,1.25110,0.10156,0.61975,-1.70898,-11.35254,-23.19336
22:49:56.073 -> 275,1.11951,0.01978,0.44885,18.06641,2.13623,-26.55029
22:49:56.073 -> 292,1.36975,0.09839,0.68848,39.91699,16.72363,-32.53174
22:49:56.119 -> 309,1.42542,0.07947,0.68542,34.97314,35.33936,-32.59277
22:49:56.119 -> 326,1.50122,0.08057,0.82092,11.29150,41.68701,-11.71875
22:49:56.119 -> 343,1.50220,0.03308,0.72522,-6.83594,36.92627,11.53564
22:49:56.165 -> 360,1.42896,-0.07690,0.56665,-10.62012,42.23633,18.85986
22:49:56.165 -> 377,1.39380,-0.11597,0.52283,-11.59668,49.25537,20.14160
22:49:56.212 -> 394,1.36145,-0.15186,0.48718,-7.01904,52.61230,22.33887
22:49:56.212 -> 411,1.30530,-0.16223,0.47839,-5.00488,56.51855,24.35303
22:49:56.212 -> 428,1.25635,-0.18494,0.45728,-5.98145,58.53271,26.00098
22:49:56.258 -> 445,1.20166,-0.22876,0.42688,-3.72314,61.27930,29.72412
22:49:56.258 -> 462,1.16565,-0.25146,0.36926,-0.97656,63.78174,26.85547
22:49:56.258 -> 479,1.10339,-0.28003,0.33508,2.01416,65.97900,23.98682
22:49:56.307 -> 496,1.03577,-0.27222,0.32324,8.60596,70.37354,22.33887
22:49:56.307 -> 513,0.98132,-0.28186,0.32898,10.62012,67.68799,25.39063
22:49:56.307 -> 530,0.91138,-0.31433,0.26282,13.79395,65.12451,30.63965
22:49:56.353 -> 547,0.84900,-0.33264,0.21729,16.90674,62.68311,32.47070
22:49:56.353 -> 564,0.80029,-0.36475,0.11951,28.38135,61.58447,27.77100
22:49:56.400 -> 581,0.81116,-0.41602,0.11865,41.44287,63.53760,16.90674
22:49:56.400 -> 598,0.82922,-0.40601,0.12231,46.75293,67.38281,10.37598
22:49:56.400 -> 615,0.79358,-0.38196,0.10657,53.46680,73.66943,13.48877
22:49:56.447 -> 632,0.72058,-0.38196,0.02271,63.35449,78.36914,16.29639
22:49:56.447 -> 649,0.64612,-0.34277,-0.02307,70.25146,75.37842,15.80811
22:49:56.447 -> 666,0.58813,-0.33374,-0.04871,76.96533,67.99316,15.56396
22:49:56.494 -> 683,0.55237,-0.33508,-0.05139,79.65088,62.56104,15.19775
22:49:56.494 -> 700,0.50793,-0.30591,-0.01282,83.92334,55.35889,19.95850
22:49:56.494 -> 717,0.46106,-0.26953,-0.00635,86.79199,44.98291,26.42822
22:49:56.540 -> 734,0.41455,-0.23584,-0.01904,86.24268,39.48975,27.03857
22:49:56.540 -> 751,0.34998,-0.15088,-0.01672,79.71191,34.60693,26.48926
22:49:56.587 -> 768,0.28894,-0.09338,-0.00208,64.39209,27.70996,26.85547
22:49:56.587 -> 785,0.19580,-0.07800,-0.04309,60.48584,15.93018,24.90234
22:49:56.587 -> 802,0.13696,-0.02148,-0.05249,70.00732,-0.30518,26.06201
22:49:56.632 -> 819,0.08826,0.03308,-0.00708,75.07324,-20.50781,29.54102
22:49:56.632 -> 836,0.05737,0.11389,-0.02588,82.39746,-40.77148,30.57861
22:49:56.632 -> 853,0.00378,0.16357,0.00195,82.09229,-55.84717,30.51758
22:49:56.680 -> 870,-0.07471,0.23254,0.03943,83.43506,-59.38721,28.80859
22:49:56.680 -> 887,-0.12134,0.27124,0.12268,87.82959,-62.25586,16.90674
